ID,Name,Date of Birth,Weight (KG),Height (CM),Locality,Nationality,Association,Wins,Losses,Draws,Last Fight
19,Royce Gracie,1966-12-12T00:00:00,79.83,182.88,Rio de Janeiro,Brazil,Gracie Humaita,15,2,3,2016-02-19T00:00:00
20,Art Jimmerson,1963-08-04T00:00:00,88.9,185.42,"St. Louis, Missouri",United States,None,0,1,0,1993-11-12T00:00:00
21,Patrick Smith,1963-07-16T00:00:00,102.06,187.96,"Denver, Colorado",United States,None,20,17,0,2016-07-23T00:00:00
22,Jason DeLucia,1969-07-24T00:00:00,86.18,180.34,"Bellingham, Massachusets",United States,None,33,21,1,2006-11-27T00:00:00
23,Trent Jenkins,None,83.91,187.96,"Denver, Colorado",United States,None,0,4,0,2000-07-15T00:00:00
24,Scott Morris,None,95.25,182.88,"Arlington, Texas",United States,None,2,1,0,1998-06-12T00:00:00
25,Sean Daugherty,1975-12-04T00:00:00,86.18,177.8,"Akron, Ohio",United States,None,0,2,0,2000-04-30T00:00:00
26,Ray Wizard,None,0,0,"Los Angeles, California",United States,None,0,1,0,1994-03-11T00:00:00
27,Johnny Rhodes,None,95.25,182.88,"Las Vegas, Nevada",United States,None,2,1,0,1994-03-11T00:00:00
28,David Levicki,None,131.54,195.58,"Orem, Utah",United States,None,1,3,0,1995-02-19T00:00:00
29,Frank Hamaker,None,111.13,187.96,Amsterdam,Netherlands,None,1,0,0,1994-03-11T00:00:00
30,Thaddeus Luster,None,90.72,190.5,"Van Nuys, California",United States,None,0,1,0,1994-03-11T00:00:00
31,Orlando Wiet,1965-10-24T00:00:00,77.11,177.8,Nancy,France,Team Wiet,1,5,0,2011-05-19T00:00:00
32,Robert Lucarelli,None,111.13,187.96,"Schenectady, New York",United States,None,0,1,0,1994-03-11T00:00:00
33,Remco Pardoel,None,113.4,187.96,Oss,Holland,Pardoel Sports,9,6,1,2003-07-13T00:00:00
34,Scott Baker,None,95.25,182.88,Utah,United States,None,1,1,0,1997-10-04T00:00:00
35,Minoki Ichihara,None,80.74,170.18,Tokyo,Japan,None,0,1,0,1994-03-11T00:00:00
36,Fred Ettish,1955-10-12T00:00:00,81.65,182.88,"Bemiji, Minnesota",United States,None,1,1,0,2009-08-15T00:00:00
37,Alberto Cerra Leon,None,104.78,172.72,Lemoa,Spain,None,0,1,0,1994-03-11T00:00:00
38,Keith Hackney,1958-04-15T00:00:00,90.72,180.34,"Addison, Illinois",United States,None,2,2,0,1995-12-16T00:00:00
39,Emmanuel Yarborough,1964-09-05T00:00:00,272.16,203.2,"Rahway, New Jersey",United States,Freelance,1,2,0,1998-06-24T00:00:00
40,Christophe Leninger,1962-07-16T00:00:00,90.72,182.88,"Scottsdale, Arizona",United States,None,3,4,0,2001-03-24T00:00:00
41,Harold Howard,None,108.86,187.96,"Niagara Falls, Ontario",Canada,None,1,3,0,1996-08-14T00:00:00
42,Roland Payne,1964-07-16T00:00:00,92.99,175.26,"Charlotte, North Carolina",United States,None,0,1,0,1994-09-09T00:00:00
43,Kimo Leopoldo,1968-01-04T00:00:00,106.59,190.5,"Huntington Beach, California",United States,Freelance,10,7,1,2006-10-06T00:00:00
44,Steve Jennum,None,97.52,177.8,"Omaha, Nebraska",United States,None,2,3,0,1997-02-22T00:00:00
45,Felix Mitchell,None,99.79,180.34,"Antioch, Tennessee",United States,None,2,7,0,2001-03-31T00:00:00
46,Joe Charles,1958-07-16T00:00:00,117.93,185.42,"Culver City, California",United States,None,6,13,0,2000-09-24T00:00:00
47,Oleg Taktarov,1967-08-26T00:00:00,95.25,182.88,Nizhny Novgorod,Russia,Freelance,17,5,2,2008-04-11T00:00:00
48,Jason Fairn,1973-07-16T00:00:00,104.33,185.42,"Vancouver, British Columbia",Canada,Fairn Jiu-Jitsu,4,5,0,2010-03-06T00:00:00
49,Ron van Clief,None,86.18,177.8,"Brooklyn, New York",United States,None,0,1,0,1994-12-16T00:00:00
50,Joe Son,1970-11-20T00:00:00,107.05,162.56,"Huntington Beach, California",United States,None,0,4,0,2002-07-20T00:00:00
51,Melton Bowen,1969-03-10T00:00:00,102.06,182.88,"Irmo, South Carolina",United States,None,0,1,0,1994-12-16T00:00:00
52,Dan Severn,1958-06-08T00:00:00,114.76,187.96,"Coldwater, Michigan",United States,The Beast Academy,101,19,7,2012-04-28T00:00:00
53,Anthony Macias,1969-07-16T00:00:00,77.11,177.8,"Oklahoma City, Oklahoma",United States,USA Stars,26,18,0,2014-04-18T00:00:00
54,Marcus Bossett,None,99.79,185.42,"Los Angeles, California",United States,None,1,3,0,1996-12-07T00:00:00
55,Eldo Dias Xavier,1964-07-16T00:00:00,81.65,180.34,None,Brazil,None,0,1,0,1994-12-16T00:00:00
56,Dave Beneteau,1968-07-16T00:00:00,113.4,187.96,"Windsor, Ontario",Canada,None,6,5,1,2001-06-23T00:00:00
57,Asbel Cancio,None,102.06,177.8,"Miami, Florida",United States,None,0,1,0,1995-04-07T00:00:00
58,John Dowdy,None,0,0,"Morganton, North Carolina",United States,None,0,2,0,2007-10-20T00:00:00
59,Jon Hess,None,133.81,200.66,"Encinitas, California",United States,Team Quest,1,1,0,1996-10-11T00:00:00
60,Andy Anderson,1964-07-16T00:00:00,108.86,175.26,"Arlington, Texas",United States,None,0,1,0,1995-04-07T00:00:00
61,Todd Medina,1970-04-30T00:00:00,92.99,177.8,"Santa Ana, California",United States,Carlson Gracie Jiu-Jitsu,11,9,0,2009-06-26T00:00:00
62,Larry Cureton,None,112.49,187.96,"Jersey City, New Jersey",United States,None,0,2,0,1995-09-08T00:00:00
63,Ernie Verdicia,None,99.34,177.8,"Miami, Florida",United States,None,0,1,0,1995-04-07T00:00:00
64,Chris Brennan,1971-10-12T00:00:00,70.31,172.72,"Mission Viejo, California",United States,Next Generation,21,13,1,2012-06-30T00:00:00
65,Joe Stevenson,1982-06-15T00:00:00,70.31,170.18,"Victorville, California",United States,Joe Stevenson's Cobra Kai,33,16,0,2016-08-26T00:00:00
66,William Sriyapai,1972-02-05T00:00:00,76.66,170.18,"Rancho Cucamonga, California",United States,Millennia MMA,12,8,0,2013-09-06T00:00:00
67,Kit Cope,1977-03-17T00:00:00,75.75,182.88,"Las Vegas, Nevada",United States,Twisted Genetiks,6,7,0,2012-06-23T00:00:00
68,David Arliero Colon,None,87.54,0,"Fullerton, California",United States,None,0,1,0,1999-10-30T00:00:00
69,Steve Treadwell,None,124.74,185.42,"Fullerton, California",United States,None,1,2,0,2000-04-15T00:00:00
70,Mike Bourke,1968-11-25T00:00:00,124.74,182.88,"La Habra, California",United States,None,10,16,1,2010-11-25T00:00:00
71,Mark Kerr,1968-12-21T00:00:00,115.67,190.5,"Phoenix, Arizona",United States,Team Kerr,15,11,0,2009-08-28T00:00:00
72,Frank Rodriguez,None,92.53,0,"Hesperia, California",United States,Combat Grappling,0,1,0,1999-10-30T00:00:00
73,Betiss Mansouri,None,82.1,177.8,"Upland, California",United States,Millennia MMA,3,1,1,2002-11-01T00:00:00
74,Jason Meaders,None,77.11,175.26,"Upland, California",United States,Millennia MMA,12,12,0,2013-09-07T00:00:00
75,Erik Meaders,None,77.11,180.34,"Upland, California",United States,None,3,12,1,2009-05-16T00:00:00
76,Jeremy Williams,1979-06-01T00:00:00,83.91,187.96,"Laguna Niguel, California",United States,Apex Jiu-Jitsu,7,2,1,2007-03-17T00:00:00
77,John Leon,None,71.21,0,"Huntington Beach, California",United States,cleber Jiu-Jitsu,1,0,0,1999-10-30T00:00:00
78,Jesse Contaeras,None,70.31,0,"Hesperia, California",United States,None,1,1,0,2002-06-19T00:00:00
79,Deshon Dungey,None,86.64,0,"Ontario, California",United States,Shark Tank,1,2,0,2006-10-07T00:00:00
80,Travis Fulton,1977-05-29T00:00:00,104.33,182.88,"Cedar Falls, Iowa",United States,Team Peak Performance,253,51,10,2016-05-07T00:00:00
81,David Dodd,None,92.99,187.96,"Mesa, Arizona",United States,Arizona Combat Sports,4,7,0,2000-11-29T00:00:00
82,John Jensen,None,92.08,187.96,"Pomona, California",United States,Millennia MMA,2,3,0,2002-06-19T00:00:00
83,Gerry Harris,None,141.97,203.2,None,United States,None,1,4,0,1997-05-02T00:00:00
84,Kazushi Sakuraba,1969-07-14T00:00:00,75.75,182.88,"Katagami, Akita",Japan,Laughter7,26,17,1,2015-12-29T00:00:00
85,Romie Aram,None,77.11,177.8,"Ontario, California",United States,Millennia MMA,7,1,0,2004-02-20T00:00:00
86,Brian Foster,1975-01-17T00:00:00,92.99,177.8,"Moreno Valley, California",United States,Millenia Jiu-Jitsu,9,12,0,2007-11-03T00:00:00
87,Charlie Kohler,1976-07-16T00:00:00,74.84,175.26,"San Diego, California",United States,San Diego Fight Club,8,4,1,2007-05-12T00:00:00
88,Tiki Ghosn,1977-02-09T00:00:00,76.66,177.8,"Huntington Beach, California",United States,None,10,7,1,2009-05-16T00:00:00
89,Jason Maxwell,1979-04-19T00:00:00,70.31,175.26,"Henrietta, Texas",United States,None,15,9,0,2008-07-25T00:00:00
90,Roger Godinez,None,145.15,187.96,"Los Angeles, California",USA,None,1,1,1,2002-04-20T00:00:00
91,Bill Parker,None,0,0,None,None,None,0,3,1,2009-03-21T00:00:00
92,Richard Marino,None,0,0,None,None,None,0,1,0,2001-08-04T00:00:00
93,Rick Kerns,None,0,0,None,None,None,3,4,1,2002-03-07T00:00:00
94,Mike Grimace,None,0,0,None,None,None,0,0,1,2000-02-05T00:00:00
95,Nick LaQuette,None,0,0,None,None,None,1,2,1,2000-08-30T00:00:00
96,Alex Richard,None,0,0,None,None,None,4,8,0,2010-01-03T00:00:00
97,Randy Velarde,None,77.11,170.18,California,United States,Millennia MMA,8,5,0,2007-03-10T00:00:00
98,Tim Conrad,None,0,0,None,None,None,1,2,0,2000-12-09T00:00:00
99,Brian Warren,1974-06-05T00:00:00,83.91,182.88,"San Bernardino, California",United States,Unbreakable Gym,18,17,1,2013-01-17T00:00:00
100,Oscar Oscar,None,0,0,None,None,None,0,1,0,2000-02-05T00:00:00
101,Duane Ludwig,1978-08-04T00:00:00,77.11,177.8,"Denver, Colorado",United States,Grudge Training Center,21,14,0,2012-09-29T00:00:00
102,David Ibarra,None,0,0,None,None,None,0,1,0,2000-02-05T00:00:00
103,David Step,None,63.5,0,"Ontario, California",United States,Millennia MMA,4,0,0,2000-04-15T00:00:00
104,Jeff Cahill,None,66.22,177.8,"San Luis Capistrano, California",USA,None,1,4,0,2000-04-15T00:00:00
107,Joel Sutton,None,91.63,177.8,"Buffalo, New York",United States,None,2,4,1,1999-02-20T00:00:00
108,Alfreido Ramirez,None,0,0,None,None,None,0,1,0,1996-08-23T00:00:00
109,He-Man Ali Gipson,1973-03-01T00:00:00,97.98,0,"Las Vegas, Nevada",United States,None,1,2,0,2008-04-12T00:00:00
110,David Abbott,1965-04-26T00:00:00,113.4,182.88,"Huntington Beach, California",United States,None,10,15,0,2013-04-13T00:00:00
111,John Matua,None,181.44,187.96,"Garden Grove, California",United States,None,1,4,0,2000-09-16T00:00:00
112,Paul Varelans,1969-09-17T00:00:00,136.08,203.2,"Fairbanks, Alaska",United States,None,9,9,0,1998-02-08T00:00:00
113,Cal Worsham,None,104.33,177.8,"Folsom, California",United States,Worsham Team X,13,10,0,2012-03-30T00:00:00
114,Rudyard Moncayo,None,92.99,177.8,"Santa Ana, California",United States,None,0,3,0,1996-10-18T00:00:00
115,Geza Kalman,None,0,0,None,None,None,4,9,0,2008-08-23T00:00:00
116,Onassis Parungao,None,0,0,None,None,None,2,1,0,1995-11-25T00:00:00
117,Francesco Maturi,None,0,0,None,None,None,0,1,0,1995-09-08T00:00:00
118,Mark Hall,None,86.18,182.88,"Murrieta, California",United States,None,5,6,0,2001-10-06T00:00:00
119,Ryan Parker,None,106.59,190.5,"Moorehead, Minnesota",United States,None,0,1,0,1995-09-08T00:00:00
120,Marco Ruas,1961-01-23T00:00:00,95.25,185.42,Rio De Janeiro,Brazil,Ruas Vale Tudo,9,4,2,2007-05-19T00:00:00
121,Scott Bessac,None,117.48,193.04,"Lodi, California",United States,None,4,6,0,1995-12-16T00:00:00
122,Sam Adkins,1965-04-26T00:00:00,102.06,190.5,"Houston, Texas",United States,None,7,20,2,2007-10-20T00:00:00
123,Keith Mielke,None,84.82,175.26,"San Diego, California",United States,None,0,5,0,2000-07-15T00:00:00
124,Don Frye,1965-11-23T00:00:00,95.25,185.42,"Sierra Vista, Arizona",United States,Team Frye,20,9,1,2011-12-11T00:00:00
125,Thomas Ramirez,None,185.97,185.42,Bayamon,Puerto Rico,None,0,1,0,1996-02-16T00:00:00
126,Joe Moreira,None,0,0,None,None,None,2,2,0,2002-11-09T00:00:00
127,Jerry Bohlander,1974-11-02T00:00:00,90.26,180.34,"Napa, California",United States,Lion's Den,11,4,0,2004-03-20T00:00:00
128,Scott Ferrozzo,1965-04-26T00:00:00,146.51,180.34,"Shakopee, Minnesota",United States,None,4,2,0,1997-02-07T00:00:00
129,Gary Goodridge,1966-01-17T00:00:00,108.86,190.5,"Barrie, Ontario",Canada,Big Daddy Fight Team,23,22,1,2010-12-17T00:00:00
130,Paul Herrera,None,83.91,177.8,"Huntington Beach, California",United States,Empire Training Center,1,1,0,2002-11-09T00:00:00
131,Rafael Carino,1973-07-16T00:00:00,111.13,203.2,Rio De Janeiro,Brazil,Nova Uniao,2,1,1,2005-07-02T00:00:00
132,Matt Andersen,None,111.13,187.96,"Omaha, Nebraska",USA,None,14,8,1,2010-02-20T00:00:00
133,Mark Schultz,1960-10-26T00:00:00,92.08,177.8,"Lindon, Utah",United States,None,1,1,0,2003-09-13T00:00:00
134,Koji Kitao,1963-08-12T00:00:00,176.9,200.66,"Tsu, Mie",Japan,New Japan Pro Wrestling,1,2,0,1997-10-11T00:00:00
135,Amaury Bitetti,None,83.91,175.26,Rio De Janeiro,Brazil,None,5,2,0,2001-12-15T00:00:00
136,Mark Coleman,1964-12-20T00:00:00,92.99,185.42,"Columbus, Ohio",United States,Hammer House,16,10,0,2010-02-06T00:00:00
137,Brian Johnston,1968-07-28T00:00:00,100.7,193.04,"San Jose, California",United States,American Kickboxing Academy,5,5,0,1997-07-27T00:00:00
138,Scott Fiedler,None,106.59,193.04,"Pacific, Missouri",United States,None,0,1,0,1996-07-12T00:00:00
139,Moti Horenstein,1964-03-23T00:00:00,92.99,185.42,"Spring Valley, New York",United States,Moti Horenstein MMA,1,6,0,2000-03-05T00:00:00
140,John Campetella,None,106.59,175.26,"New York City, New York",USA,None,0,1,0,1996-07-12T00:00:00
141,Sam Fulton,None,113.4,187.96,"Athens, Alabama",United States,None,0,2,0,1997-07-27T00:00:00
142,Roberto Traven,1968-09-16T00:00:00,102.97,190.5,Rio de Janeiro,Brazil,Alliance Team,6,4,1,2009-06-13T00:00:00
143,Dave Berry,None,0,0,None,None,None,0,1,0,1996-09-20T00:00:00
144,Julian Sanchez,None,136.08,190.5,"San Antonio, Texas",United States,None,0,1,0,1996-09-20T00:00:00
145,Reza Nasri,None,92.99,180.34,Isfahan,"Iran, Islamic Republic of",None,0,1,0,1996-09-20T00:00:00
146,Fabio Gurgel,1970-01-18T00:00:00,92.99,182.88,Rio de Janeiro,Brazil,Alliance,3,2,0,1997-01-19T00:00:00
147,Steve Nelmark,None,113.4,182.88,"Livonia, Michigan",USA,None,2,1,0,1996-12-07T00:00:00
148,Nick Sanzo,None,86.18,175.26,"Niskayuna, New York",United States,None,1,1,0,1997-02-07T00:00:00
149,Jackie Lee,None,0,0,None,None,None,0,1,0,1997-02-07T00:00:00
150,Justin Martin,None,92.99,182.88,"Dallas, Texas",United States,None,4,3,0,1998-11-07T00:00:00
151,Eric Martin,None,0,0,None,None,None,0,1,0,1997-02-07T00:00:00
152,Rainy Martinez,None,88.45,182.88,"Tucson, Arizona",United States,None,0,2,0,1998-02-27T00:00:00
153,Kazuo Takahashi,1969-03-13T00:00:00,92.08,177.8,Chiba,Japan,D-One Gym,30,27,3,2013-09-29T00:00:00
154,Wallid Ismail,1968-02-22T00:00:00,82.55,170.18,Rio De Janeiro,Brazil,Brazil Dojo,9,3,0,2002-12-31T00:00:00
155,Jim Mullen,None,97.52,185.42,"Simi Valley, California",United States,None,0,2,0,1997-02-07T00:00:00
156,Vitor Belfort,1977-04-01T00:00:00,83.91,182.88,Rio de Janeiro,Brazil,Blackzilians,25,13,0,2016-10-08T00:00:00
157,Tra Telligman,1965-02-07T00:00:00,105.69,187.96,"Dallas, Texas",United States,Lion's Den,7,5,1,2005-08-20T00:00:00
158,Tito Ortiz,1975-01-23T00:00:00,92.99,187.96,"Huntington Beach, California",United States,Team Punishment,19,12,1,2017-01-21T00:00:00
159,Wes Albritton,None,0,0,None,None,None,0,1,0,1997-05-30T00:00:00
160,Saeed Hosseini,None,0,0,None,None,None,0,1,0,1997-05-30T00:00:00
161,Jack Nilson,None,0,0,None,None,None,2,6,0,2001-04-21T00:00:00
162,Kevin Randleman,1971-08-10T00:00:00,92.99,177.8,"Columbus, Ohio",United States,Tapout Training Center,17,16,0,2011-05-07T00:00:00
163,Royce Alger,None,0,0,None,None,None,3,2,0,1999-07-16T00:00:00
164,Steven Graham,None,131.54,185.42,"Fayettsville, North Carolina",USA,None,2,1,0,1997-05-30T00:00:00
165,Dmitri Stepanov,None,0,0,None,None,None,0,1,0,1997-05-30T00:00:00
166,Randy Couture,1963-06-22T00:00:00,92.08,185.42,"Corvallis, Oregon",United States,Xtreme Couture,19,11,0,2011-04-30T00:00:00
167,Tony Halme,None,136.08,193.04,Helsinki,Finnland,None,0,4,0,1997-05-30T00:00:00
168,Tony Fryklund,1971-03-26T00:00:00,70.31,182.88,"Boston, Massachusetts",United States,Militech Fighting Systems,14,9,1,2013-03-28T00:00:00
169,Donnie Chappell,None,0,0,None,None,None,0,1,0,1997-07-27T00:00:00
170,Alex Hunter,None,102.51,175.26,"Tarpon Springs, Florida",USA,None,2,0,0,1997-10-17T00:00:00
171,Yuri Vaulin,1963-09-13T00:00:00,93.89,193.04,Riga,Latvia,None,0,1,0,1997-07-27T00:00:00
172,Kevin Jackson,None,90.26,177.8,"Phoenix, Arizona",United States,None,4,2,0,1998-05-15T00:00:00
173,Todd Butler,None,89.81,185.42,"Curwensville, Phildelphia",USA,None,1,4,0,1999-10-09T00:00:00
174,Dan Bobish,1970-01-26T00:00:00,150.59,185.42,"Cleveland, Ohio",United States,Strong Style Fight Team,17,9,0,2007-10-19T00:00:00
175,Maurice Smith,1961-12-13T00:00:00,93.44,187.96,"Seattle, Washington",United States,The Alliance,12,14,0,2013-11-02T00:00:00
176,Harry Moskowitz,1968-07-16T00:00:00,124.74,195.58,"Ocean Springs, Mississippi",United States,None,6,12,0,2003-11-14T00:00:00
177,Dwayne Cason,None,96.16,177.8,"Fayettville, North Carolina",USA,None,1,1,0,1997-10-17T00:00:00
178,Houston Dorr,None,92.99,182.88,"Diamond Head, Mississippi",USA,None,1,2,0,1997-10-17T00:00:00
179,Greg Stott,None,108.86,170.18,"Sanford, North Carolina",USA,None,0,1,0,1997-10-17T00:00:00
180,Carlos Barreto,1968-07-22T00:00:00,104.33,193.04,Rio de Janeiro,Brazil,None,14,9,0,2005-05-21T00:00:00
181,Brad Kohler,1964-05-26T00:00:00,99.79,175.26,"Bloomington, Minnesota",United States,None,12,15,0,2012-09-08T00:00:00
182,Yoji Anjo,1969-12-31T00:00:00,89.81,180.34,"Suginami, Tokyo",Japan,Team Kingdom,0,5,1,2004-12-31T00:00:00
183,Marcus Silveira,None,109.77,190.5,Rio de Janeiro,Brazil,American Top Team,6,4,0,2007-03-31T00:00:00
184,LaVerne Clark,1973-12-02T00:00:00,83.91,180.34,"Davenport, Iowa",United States,Miletich Martial Arts,27,21,1,2014-03-15T00:00:00
185,Josh Stuart,None,72.12,175.26,"Harvey, Louisiana",United States,None,0,2,0,1998-12-11T00:00:00
186,Mikey Burnett,1974-04-12T00:00:00,77.11,167.64,"Tulsa, Oklahoma",United States,Lion's Den,5,2,0,1999-01-08T00:00:00
187,Eugenio Tadeu,None,72.57,172.72,Rio de Janeiro,Brazil,None,2,3,0,2003-05-16T00:00:00
188,Pat Miletich,1968-03-09T00:00:00,76.66,177.8,"Bettendorf, Iowa",United States,Miletich Martial Arts,29,7,2,2008-12-11T00:00:00
189,Townsend Saunders,1968-07-16T00:00:00,77.11,165.1,"White Sands, New Mexico",United States,None,0,2,0,1999-01-08T00:00:00
190,Tsuyoshi Kosaka,1970-03-06T00:00:00,102.06,180.34,"Kusatsu, Shiga",Japan,Alliance-Square,27,19,2,2016-12-29T00:00:00
191,Igor Zinoviev,None,88.45,185.42,St. Petersburg,Russia,None,4,1,2,1998-03-13T00:00:00
192,Chuck Liddell,1969-12-17T00:00:00,92.99,187.96,"San Luis Obispo, California",United States,The Pit,21,8,0,2010-06-12T00:00:00
193,Noe Hernandez,None,0,0,None,None,None,5,5,0,2006-03-08T00:00:00
194,Andre Roberts,1965-02-24T00:00:00,156.49,187.96,"Tama, Iowa",United States,None,14,2,1,2005-01-22T00:00:00
195,Dan Henderson,1970-08-24T00:00:00,83.91,185.42,"Temecula, California",United States,Team Quest,32,15,0,2016-10-08T00:00:00
196,Allan Goes,1971-04-20T00:00:00,92.99,182.88,"Mission Viejo, California",United States,Goes Martial Arts,10,5,2,2007-06-01T00:00:00
197,Bob Gilstrap,1974-07-16T00:00:00,95.25,190.5,"Seattle, Washington",United States,None,5,7,0,2014-09-06T00:00:00
198,Mike Van Arsdale,1965-06-20T00:00:00,92.99,187.96,"San Jose, California",United States,None,8,5,0,2006-04-29T00:00:00
199,Joe Pardo,None,95.25,185.42,"Torrance, California",USA,Gracie Jiu-Jitsu Academy,4,6,0,2002-09-07T00:00:00
200,Hugo Duarte,1968-08-09T00:00:00,108.86,182.88,Rio De Janeiro,Brazil,Hugo Duarte Luta Livre,6,3,0,2000-03-05T00:00:00
201,Pete Williams,1975-07-10T00:00:00,102.06,190.5,"San Lorenzo, California",USA,Lion's Den,12,6,0,2002-03-22T00:00:00
202,Jeremy Horn,1975-08-25T00:00:00,84.37,185.42,"Cedar Rapids, Iowa",United States,Elite Performance,91,23,5,2015-11-14T00:00:00
203,Cesar Marcussi,None,70.31,0,"Cascavel, Parana",Brazil,Ryan Gracie Team,3,2,0,2014-09-27T00:00:00
204,Paulo Santos,None,0,0,None,None,None,0,3,0,2006-08-04T00:00:00
205,Tulio Palhares,None,81.65,177.8,Sao Paulo,Brazil,None,2,16,0,2014-05-10T00:00:00
206,Adriano Santos,None,0,0,None,None,None,0,1,0,1998-10-16T00:00:00
207,Ebenezer Fontes Braga,1969-04-14T00:00:00,90.26,182.88,Rio de Janeiro,Brazil,Gracie Barra Combat Team,13,7,2,2004-05-15T00:00:00
208,Pedro Rizzo,1974-05-03T00:00:00,110.68,185.42,"Rio de Janeiro, Rio de Janeiro",Brazil,Ruas Vale Tudo,20,11,0,2015-09-12T00:00:00
209,Wanderlei Silva,1976-07-03T00:00:00,83.91,177.8,"Curitiba, Parana",Brazil,Wand Fight Team,35,12,1,2013-03-03T00:00:00
210,John Lober,1968-02-26T00:00:00,82.55,180.34,"Huntington Beach, California",United States,Team Machine,5,9,4,2009-11-29T00:00:00
211,Frank Caracci,1970-02-16T00:00:00,92.99,170.18,"New Orleans, Louisiana",United States,None,2,3,0,2009-01-09T00:00:00
212,Evan Tanner,1971-02-11T00:00:00,83.91,182.88,"Amarillo, Texas",United States,Hard Knocks Kickboxing,32,8,0,2008-06-21T00:00:00
213,Darrell Gholar,1962-11-07T00:00:00,89.81,172.72,"North Hollywood, California",United States,None,5,6,0,2001-06-09T00:00:00
214,Bas Rutten,1965-02-24T00:00:00,92.99,185.42,Eindhoven,Netherlands,None,28,4,1,2006-07-22T00:00:00
215,Jason Godsey,1964-01-01T00:00:00,111.13,187.96,"Indianapolis, Indiana",United States,Integrated Fighting Academy,16,16,0,2006-05-06T00:00:00
216,Valeri Ignatov,None,86.64,175.26,Sofia,Bulgaria,Shamrock 2000,1,2,0,2010-09-18T00:00:00
217,Ron Waterman,1965-11-23T00:00:00,117.93,187.96,"Greeley, Colorado",United States,Colorado Stars,16,6,2,2008-11-29T00:00:00
218,Fabiano Iha,1970-07-28T00:00:00,70.31,172.72,"Huntington Beach, California",United States,None,9,5,0,2005-03-19T00:00:00
219,Marcelo Mello,None,0,0,None,None,None,1,0,0,1999-05-07T00:00:00
220,Dave Roberts,1977-11-15T00:00:00,92.08,185.42,"Jacksonville, Florida",United States,None,5,8,0,2009-07-18T00:00:00
221,Tony Petarra,1966-11-08T00:00:00,88.9,180.34,"Santa Maria, California",United States,Shark Tank,2,3,1,2004-06-12T00:00:00
222,Eugene Jackson,1969-12-31T00:00:00,83.91,172.72,"East Palo Alto, California",United States,Gladiators Training Academy,15,9,1,2007-09-29T00:00:00
223,Tim Lajcik,1965-06-21T00:00:00,102.06,185.42,"Redwood, California",United States,Gladiators Training Academy,7,6,1,2002-07-05T00:00:00
224,Paul Jones,None,89.81,175.26,"Boys Ranch, Texas",United States,None,11,1,1,2000-11-25T00:00:00
225,Flavio Luiz Moura,1976-01-26T00:00:00,84.82,180.34,Rio de Janiero,Brazil,Gracie Fusion,19,7,0,2012-03-04T00:00:00
