Name,Nickname,Wins,Losses,Draws,No Contests,Height (in.),Weight (lbs),Reach (in.),Stance,Birth Date,Sig. Strikes landed/min,strike acc. (%),Sig Strikes taken/min,Strike def. (%),TD/15 min,TD acc. (%),TD def. (%),sub/15 min
Ricardo Almeida,Big Dog,13,5,0,,72,170,74,Orthodox,1976-11-29,2.02,49,1.20,61,3.74,38,31,1.2
Magno Almeida,,9,3,0,1,72,155,,,1985-06-06,1.67,36,2.60,41,0.00,0,40,5.0
Thomas Almeida,Thominhas,22,1,0,,67,135,70,Southpaw,1991-07-31,6.46,49,4.47,66,0.00,0,80,0.0
Ericka Almeida,,7,2,0,,66,115,68,,1989-03-05,1.07,39,3.33,43,0.50,33,37,0.0
Mauricio Alonso,,10,7,0,1,74,170,,,1980-02-27,0.00,0,0.00,0,0.00,0,0,0.0
Rico Altamirano,,3,2,0,,70,170,,,,0.00,0,0.00,0,0.00,0,0,0.0
Mike Altman,,1,4,0,,70,185,,Orthodox,,1.56,20,2.08,75,0.00,0,0,0.0
Sean Alvarez,,4,3,0,,72,235,,Orthodox,1971-07-14,0.89,37,3.25,47,0.00,0,0,0.0
Eddie Alvarez,The Underground King,28,5,0,,69,155,69,Orthodox,1984-01-11,3.43,42,3.28,59,3.58,38,92,0.5
Thiago Alves,Pitbull,26,11,0,,69,170,70,Orthodox,1983-10-03,3.49,41,3.08,64,0.73,64,63,0.4
Anthony Alves,,1,3,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Amilcar Alves,,11,4,0,,72,170,,Southpaw,1988-08-08,0.50,46,2.02,30,0.00,0,53,0.0
Warlley Alves,,11,2,0,,71,170,72,Orthodox,1991-01-04,2.86,47,4.50,50,1.14,55,75,1.4
Sam Alvey,Smile'N,30,8,0,1,74,185,75,Southpaw,1986-05-06,3.60,48,3.80,56,0.00,0,85,0.2
Andre Amado,Dida,6,4,1,,72,154,,Orthodox,,2.27,24,5.91,63,0.00,0,20,0.0
Adlan Amagov,Borz,13,2,1,,74,170,76,Orthodox,1986-10-30,3.29,47,0.82,78,5.84,56,100,0.0
Chris Amarante,,2,0,0,,,185,,,,0.00,0,0.00,0,0.00,0,0,0.0
Jimmy Ambriz,The Titan,15,18,1,,74,315,,Southpaw,1970-01-26,0.83,29,3.76,40,3.13,57,100,0.8
JJ Ambrose,,17,3,0,1,70,170,,Orthodox,,3.16,69,6.32,33,0.00,0,50,0.0
Makwan Amirkhani,Mr. Finland,13,2,0,,70,145,72,Southpaw,1988-11-08,2.26,66,0.83,41,4.46,62,0,1.8
Bertrand Amoussou,,1,1,0,,68,190,,Orthodox,,6.75,39,2.01,83,0.00,0,0,0.0
Karl Amoussou,The Psycho,12,4,2,,71,185,,Orthodox,1985-11-21,1.47,34,2.67,54,0.00,0,25,1.0
Matt Andersen,,14,8,1,,74,230,,Southpaw,1971-05-29,0.00,0,0.00,0,0.00,0,0,0.0
Andy Anderson,The Hammer,0,1,0,,66,240,,,1974-07-16,0.00,0,0.00,0,0.00,0,0,0.0
Lowell Anderson,,0,1,0,,66,160,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Corey Anderson,Overtime,10,2,0,,75,205,79,,1989-09-22,5.11,46,2.39,58,4.44,52,33,0.0
Derek Anderson,Barbaric,13,2,0,1,72,155,,,1990-02-02,3.97,37,3.08,61,0.34,14,60,0.0
Alex Andrade,El Toro,10,5,0,,71,200,,Orthodox,1974-05-14,0.20,36,2.60,53,0.00,0,25,0.8
Jessica Andrade,Bate Estaca,16,5,0,,61,115,62,Orthodox,1991-09-25,6.80,52,4.29,56,2.60,62,74,0.8
Viscardi Andrade,,19,7,0,,71,170,75,Orthodox,1984-03-08,3.26,42,2.77,63,1.93,50,66,0.3
Jermaine Andre,,14,4,0,,67,200,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Dylan Andrews,The Villain,18,8,0,1,73,185,73,Switch,1979-11-15,2.21,50,2.72,46,2.83,50,57,0.4
Reese Andy,Riptide,7,3,0,,72,205,,Orthodox,1973-03-31,2.87,50,3.50,58,0.67,20,40,0.0
Yoji Anjo,Mr. 200%,0,5,1,,71,205,,Orthodox,1967-03-28,0.00,0,3.13,25,0.00,0,0,0.0
Nina Ansaroff,The Strina,7,5,0,,65,115,64,Orthodox,1985-12-03,3.73,50,2.61,53,0.69,50,73,1.4
Gadzhimurad Antigulov,,19,4,0,,71,205,70,Orthodox,1987-02-09,0.00,0,1.79,66,13.43,100,0,13.4
Adam Antolin,,3,3,0,,65,135,,,,0.00,0,0.00,0,0.00,0,0,0.0
Angelo Antonio,,0,3,0,,,205,,Orthodox,,1.09,50,7.64,50,0.00,0,0,0.0
Shinsho Anzai,Animal,9,2,0,,67,170,70,Orthodox,1985-12-01,3.58,65,4.12,44,2.99,25,100,0.0
Shinya Aoki,Tobikan Judan,30,5,0,1,71,154,,Southpaw,1983-05-09,0.97,58,1.25,58,2.54,41,60,4.0
Erik Apple,,10,3,0,,72,170,,Orthodox,1977-08-26,0.00,0,0.54,81,0.00,0,0,8.1
Kenji Arai,,15,15,5,,70,145,,Southpaw,1979-10-05,8.79,27,10.29,39,0.00,0,0,0.0
Romie Aram,,7,1,0,,70,170,,Orthodox,1977-12-02,1.80,35,2.83,50,2.50,62,83,0.0
Felipe Arantes,Sertanejo,18,8,1,2,68,135,73,Orthodox,1988-02-09,2.43,49,2.33,63,1.13,56,42,0.9
Igor Araujo,,25,8,0,1,73,170,77,Orthodox,1980-12-06,1.52,42,2.86,49,0.86,15,22,0.6
Art Arciniega,King Arthur,14,6,0,,68,145,,,1981-10-15,1.53,46,2.73,51,0.00,0,50,1.0
Tristan Arenal,,4,1,0,,,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Andrei Arlovski,The Pitbull,25,14,0,1,75,240,77,Orthodox,1979-02-04,3.12,41,2.50,59,0.39,41,82,0.5
Joey Armstrong,,5,2,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Ricardo Arona,The Brazilian Tiger,14,5,0,,71,205,,Orthodox,1978-07-17,1.66,48,1.15,57,2.41,48,58,1.2
Chalid Arrab,Die Faust,7,3,0,,71,205,,Orthodox,1975-05-28,1.56,34,1.63,56,3.05,75,37,1.0
Akbarh Arreola,El Caballero,23,10,1,,70,155,71,Southpaw,1983-01-14,2.32,45,4.01,56,1.07,100,33,0.4
Matt Arroyo,No Regard,3,3,0,,70,170,72,Orthodox,1982-09-01,1.62,47,2.01,58,2.12,36,100,5.3
Gilles Arsene,,1,1,0,,69,190,,Southpaw,,0.06,10,2.45,32,0.00,0,0,0.0
Veta Arteaga,,2,1,0,,67,125,,,,0.00,0,0.00,0,0.00,0,0,0.0
Cesar Arzamendia,Goku,7,4,0,,71,155,71,,1991-01-31,5.37,45,5.20,56,7.32,75,0,2.4
Cyril Asker,Silverback,8,2,0,,72,247,74,Orthodox,1985-12-24,5.91,37,5.91,27,2.77,25,100,0.0
Scott Askham,,14,3,0,,75,185,75,Southpaw,1988-05-20,2.26,47,3.15,48,0.29,12,65,0.9
Junior Assuncao,,13,4,0,,69,145,72,Orthodox,1981-06-24,3.31,62,2.06,44,2.43,24,66,0.7
Raphael Assuncao,,24,5,0,,65,135,66,Orthodox,1982-07-19,3.37,42,2.20,69,1.55,34,78,0.4
Bazigit Atajev,Volk,17,1,0,,73,230,,Orthodox,,0.87,41,3.14,49,1.00,33,0,0.0
Rich Attonito,The Raging Bull,10,5,0,,70,170,72,Orthodox,1977-06-16,2.28,47,2.13,59,0.74,37,75,0.0
Olivier Aubin-Mercier,The Quebec Kid,10,2,0,,69,155,70,Southpaw,1989-02-23,2.91,53,2.96,57,2.99,32,83,0.7
Pat Audinwood,Awesomely Awesome,9,2,1,,72,155,,Orthodox,1986-04-16,1.17,12,4.31,41,0.80,50,0,0.0
Marcus Aurelio,Maximus,21,10,0,,70,155,74,Orthodox,1973-08-18,1.42,33,2.27,59,1.69,27,27,1.3
David Avellan,,2,1,0,,69,185,,Orthodox,,3.33,25,10.00,57,0.00,0,0,0.0
Blas Avena,The Disciple,7,6,0,1,72,170,74,Orthodox,1983-06-30,2.34,47,3.36,43,2.37,80,50,1.8
Levi Avera,,16,10,0,,73,170,,,1982-05-17,0.00,0,0.00,0,0.00,0,0,0.0
Anthony Avila,,6,1,0,,67,145,,,1988-12-29,0.00,0,0.00,0,0.00,0,0,0.0
Chris Avila,,5,4,0,,70,145,72,Orthodox,1993-01-16,2.37,30,4.17,48,0.00,0,46,0.0
Saad Awad,Assassin,9,5,0,,71,155,,,1983-06-07,2.13,26,1.87,60,0.50,16,100,0.5
Javy Ayala,Eye Candy,8,5,0,,73,265,,,1988-08-20,0.83,25,5.00,33,0.00,0,0,0.0
Jessin Ayari,Abacus,16,3,0,,72,170,73,Orthodox,1992-05-31,4.67,40,3.13,65,0.00,0,0,0.0
Luiz Azeredo,,15,10,0,,69,154,,Orthodox,1976-06-10,2.16,39,2.76,57,1.07,50,45,0.3
Niklas Backstrom,,8,2,0,1,73,145,74,Orthodox,1989-08-22,1.12,41,3.65,40,2.92,80,72,2.2
Seth Baczynski,The Polish Pistola,18,11,0,,75,170,74,Orthodox,1981-10-26,3.08,31,3.14,51,0.89,16,48,0.8
Ryan Bader,Darth,23,5,0,,74,205,74,Orthodox,1983-06-07,2.82,43,1.39,71,3.37,44,80,0.4
Izabela Badurek,,5,3,0,,65,115,,Orthodox,1991-07-11,3.74,71,4.90,32,1.75,12,100,0.0
Ali Bagautinov,Puncher,14,5,0,,64,125,65,Orthodox,1985-06-10,2.85,42,3.09,52,2.51,36,65,0.3
Mehdi Baghdad,The Sultan,11,4,0,,73,155,75,Orthodox,1985-04-13,3.13,30,4.56,46,0.00,0,33,0.0
Siyar Bahadurzada,The Great,22,6,1,,71,170,76,Orthodox,1984-04-17,3.03,47,2.23,50,1.34,80,69,0.3
Shamar Bailey,,12,5,0,,69,155,75,,1982-09-22,1.56,20,3.91,69,1.50,33,37,0.0
Jordan Bailey,,5,1,0,,69,145,,,,1.74,40,0.29,0,4.35,100,0,4.3
Scott Baker,,1,1,0,,72,210,,,,0.00,0,0.00,0,0.00,0,0,0.0
Bryan Baker,The Beast,16,3,0,,75,185,,Orthodox,1985-10-13,1.78,52,2.83,45,0.44,50,37,0.9
Oluwale Bamgbose,Holy War Angel,6,2,0,,71,185,78,Switch,1987-08-04,1.89,42,2.00,51,0.00,0,33,0.0
Stephen Banaszak,,5,4,0,,72,145,,,1990-12-07,4.20,47,1.15,66,0.00,0,100,1.9
Marcin Bandel,Bomba,13,4,0,,70,155,70,Orthodox,1989-10-10,0.79,50,5.26,23,0.00,0,0,0.0
Tae Hyun Bang,The Korean Cowboy,18,10,0,,69,155,71,Switch,1983-04-15,2.72,38,2.07,66,0.49,33,57,0.5
Yohan Banks,,2,1,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Antonio Banuelos,,19,7,1,,65,135,63,Orthodox,1979-09-23,2.71,33,3.30,58,1.38,58,85,0.4
Renan Barao,The Baron,36,4,0,1,66,145,70,Orthodox,1987-01-31,3.64,34,3.50,60,1.46,43,97,0.6
Junior Barata,,8,3,1,,70,170,,Orthodox,1982-01-25,4.03,33,8.46,34,0.00,0,0,0.0
Bryan Barberena,Bam Bam,12,4,0,,72,170,72,Southpaw,1989-05-03,5.17,48,4.23,49,0.45,40,46,0.2
Edson Barboza,Junior,18,4,0,,71,155,75,Orthodox,1986-01-21,3.99,41,3.42,64,0.62,53,86,0.1
Luke Barnatt,The Bigslow,8,3,0,,78,185,77,Orthodox,1988-04-13,4.43,36,3.87,59,0.63,42,63,0.4
James Barnes,,4,1,0,,68,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Nick Barnes,,10,1,0,,71,170,,,,2.86,29,8.93,51,5.36,100,100,5.4
Josh Barnett,The Warmaster,35,8,0,,75,250,78,Orthodox,1977-11-10,3.20,50,2.11,57,1.26,55,55,1.4
Chris Barnhizer,,1,2,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
David Baron,,17,3,1,,66,155,,Switch,1973-02-15,1.17,30,2.10,56,0.00,0,14,0.7
Phil Baroni,The New York Bad Ass,14,15,0,,69,170,72,Orthodox,1976-04-16,2.77,45,3.93,40,1.46,47,60,0.5
Dan Barrera,The Fireman,3,1,0,,69,170,,Orthodox,1980-12-23,0.80,70,1.20,28,1.00,8,0,0.0
Carlos Barreto,,14,9,0,,76,230,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Jose Barreto,,0,1,0,,,185,,Southpaw,,0.00,0,0.00,0,0.00,0,0,0.0
David Barrios,,4,5,0,,66,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Alexandre Barros,Baixinho,18,8,0,,69,170,,Southpaw,1976-11-19,0.98,40,4.05,36,1.84,50,100,0.0
Ricardo Barros,,2,2,0,,73,205,,,1976-03-22,0.00,0,8.22,31,0.00,0,100,0.0
Francimar Barroso,Bodao,18,5,0,1,73,205,75,Orthodox,1980-02-28,2.75,53,2.88,52,1.72,18,84,0.0
Pat Barry,HD,8,7,0,,71,235,74,Orthodox,1979-07-07,2.72,52,3.54,59,0.00,0,76,0.2
Enrique Barzola,El Fuerte,13,3,1,,67,145,70,,1989-04-28,3.67,45,1.78,71,4.33,43,66,0.0
Stephen Bass,Bigfish,10,1,0,,69,145,,,1982-11-14,4.87,52,5.87,55,0.00,0,0,0.0
Sean Bassett,,0,4,0,,,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Ryan Bastianelli,Relentless,5,2,0,1,65,135,,,,0.00,0,0.00,0,0.00,0,0,0.0
Shayna Baszler,The Queen of Spades,15,10,0,,67,135,67,Orthodox,1980-08-08,2.49,30,6.36,51,0.67,18,44,1.3
Chris Beal,Real Deal,10,3,0,,67,125,69,Orthodox,1985-08-06,3.45,35,3.18,61,1.60,58,78,0.2
Rudy Bears,,13,11,0,,71,170,,Southpaw,,1.27,29,2.53,50,0.00,0,0,0.0
Salvador Becerra,,4,1,0,,69,155,,,,4.57,31,3.83,58,0.00,0,66,0.0
Jeff Bedard,Little Popeye,13,3,0,,66,145,,Orthodox,1970-02-06,0.80,51,0.00,100,3.43,66,100,2.6
Eric Bedard,Lucky Strikes,6,6,0,,74,239,,,1984-09-11,6.37,35,8.54,52,0.00,0,0,0.0
Johnny Bedford,Brutal,19,13,1,1,70,135,71,Orthodox,1983-01-06,4.53,50,1.75,63,1.83,62,62,0.0
Chase Beebe,,19,8,1,,67,135,67,Orthodox,1985-03-29,2.17,38,1.64,69,2.49,42,41,0.9
Lyle Beerbohm,Fancy Pants,15,2,0,,70,155,,Southpaw,1979-02-05,1.98,55,1.61,54,2.10,23,64,0.3
Mirsad Bektic,,11,0,0,,68,145,70,Orthodox,1991-02-16,2.61,46,0.85,73,4.14,61,100,0.8
Alan Belcher,The Talent,17,7,0,,74,185,73,Orthodox,1984-04-24,2.70,41,3.10,59,0.44,26,55,0.9
Vitor Belfort,The Phenom,25,13,0,,72,185,74,Southpaw,1977-04-01,1.54,47,2.71,51,1.15,60,53,0.7
Joey Beltran,The Mexicutioner,15,9,0,1,73,185,75,Orthodox,1981-12-08,4.92,36,5.27,54,0.48,18,75,0.0
Marco Beltran,Psycho,8,5,0,,68,135,69,Orthodox,1986-05-18,2.12,40,1.76,60,0.76,40,37,0.4
Joseph Benavidez,,24,4,0,,64,125,65,Southpaw,1984-07-31,3.42,33,2.36,65,1.21,29,66,0.8
Mike Bencic,Batman,1,2,0,,72,215,,Orthodox,,0.00,0,3.32,53,0.00,0,0,0.0
Dave Beneteau,Dangerous,6,5,1,,74,250,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Karla Benitez,,6,2,0,1,63,113,,,,0.00,0,2.40,57,0.00,0,100,0.0
Gabriel Benitez,Moggly,19,6,0,,68,145,71,,1988-06-15,3.79,45,2.48,71,0.00,0,52,3.0
Charles Bennett,Krazy Horse,25,23,2,,68,155,,Orthodox,1979-11-23,1.39,39,1.35,64,2.02,100,36,2.0
Josh Bennett,,12,13,0,,76,259,,Orthodox,,2.90,40,5.80,43,1.50,100,100,0.0
Lance Benoist,,7,2,0,,71,170,73,Southpaw,1988-08-26,3.68,51,2.70,56,1.50,33,61,0.0
Joe Benoit,,11,4,0,,69,170,,Orthodox,1982-03-12,0.00,0,0.00,100,0.00,0,0,0.0
Ryan Benoit,Baby Face,9,5,0,,65,125,68,Orthodox,1989-08-25,2.08,32,3.16,60,0.31,25,59,0.3
Pat Benson,,3,6,2,,69,155,,,,0.00,0,0.00,0,0.00,0,0,0.0
Len Bentley,,9,4,0,,69,155,,,1982-11-30,0.00,0,0.00,0,0.00,0,0,0.0
Steve Berger,The Red Nosed Pitbull,21,22,2,1,71,170,,Orthodox,1973-05-20,1.00,27,3.26,36,0.84,40,16,1.7
Bret Bergmark,The Angry Hick,6,1,1,,69,170,,,1973-11-24,2.78,52,2.78,37,4.17,100,50,4.2
Keith Berish,Sha Bang Bang,5,1,0,1,72,205,73,Orthodox,1985-11-14,3.58,36,4.81,62,1.76,40,0,0.0
Dennis Bermudez,The Menace,17,6,0,,66,145,66,Orthodox,1986-12-13,4.32,46,2.80,57,4.16,43,91,1.3
Dave Berry,,0,1,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Keith Berry,,10,9,0,,73,185,,,1987-10-25,0.00,0,7.50,45,0.00,0,0,0.0
Dieusel Berto,,0,3,0,,69,200,,,,0.00,0,0.00,0,0.00,0,0,0.0
Edson Berto,Little Tiger,16,9,1,,66,155,,Orthodox,1983-07-05,1.76,36,4.62,47,5.47,40,0,2.7
Allen Berube,Monstah Lobstah,4,3,0,,68,155,,Orthodox,1974-08-25,0.92,80,0.92,33,6.87,100,0,3.4
Scott Bessac,,4,6,0,,76,245,,,,0.00,0,0.00,0,0.00,0,0,0.0
Matt Bessette,The Mangler,16,7,0,,70,145,,,1984-12-28,5.59,52,2.32,70,2.18,50,100,1.1
Fernando Bettega,,7,5,0,,,170,,,1980-03-10,0.00,0,0.00,0,0.00,0,0,0.0
David Bielkheden,,16,9,0,,70,155,71,Orthodox,1979-06-06,1.11,57,1.64,54,2.65,63,14,0.0
Jeremiah Billington,,11,2,0,,69,205,,Orthodox,1977-11-14,1.60,62,7.06,35,0.00,0,50,0.0
Scott Bills,,8,9,1,,70,170,,,,0.00,0,0.00,0,0.00,0,0,0.0
Anthony Birchak,El Toro,13,3,0,,68,135,69,Orthodox,1986-05-16,3.98,35,2.26,66,0.68,16,83,0.0
Michael Bisping,The Count,31,7,0,,73,185,75,Orthodox,1979-02-28,4.44,38,2.63,66,1.10,43,64,0.3
Amaury Bitetti,,5,2,0,,69,185,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Jan Blachowicz,,19,6,0,,74,205,78,Orthodox,1983-02-24,3.28,49,3.45,48,1.21,55,33,0.2
Jason Black,The Black Legion,23,4,1,,68,155,,Orthodox,1972-07-15,1.06,47,2.60,45,0.48,33,28,6.2
Brad Blackburn,Bad Brad,18,13,1,1,70,170,73,Orthodox,1977-05-25,4.55,35,3.59,65,0.93,50,76,0.7
Jason Blackford,,2,3,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Tom Blackledge,,10,7,0,,,205,,,,2.91,61,2.55,46,0.00,0,75,0.0
Maximo Blanco,Maxi,12,8,1,1,68,145,71,Orthodox,1983-10-16,4.11,44,3.19,66,1.85,36,63,0.3
David Blanco,,2,0,0,,67,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Curtis Blaydes,Razor,7,1,0,,76,265,80,Orthodox,1991-02-18,4.39,58,2.52,56,9.78,68,0,0.0
Arlene Blencowe,Angerfist,7,5,0,,65,145,,,1983-04-11,2.31,43,2.10,43,0.00,0,55,0.6
Byron Bloodworth,,6,3,0,,68,135,69,Orthodox,1983-08-16,1.82,28,5.18,50,0.00,0,0,0.0
Dan Bobish,,17,9,0,,74,345,,Southpaw,1970-01-26,2.06,44,1.74,34,2.44,42,0,1.6
Mark Bocek,,12,5,0,,68,155,75,Orthodox,1981-10-24,2.34,43,2.32,60,3.65,36,31,1.3
Kyle Bochniak,Crash,7,1,0,,67,145,70,Orthodox,1987-02-05,3.10,34,4.90,62,1.00,25,88,0.0
Jeremy Boczulak,,0,2,0,,,,,,,0.00,0,0.00,0,0.00,0,0,0.0
Tim Boetsch,The Barbarian,20,11,0,,72,185,74,Orthodox,1981-01-28,2.85,51,2.80,56,1.64,35,58,0.9
Jay Bogan,,6,5,0,,,145,,,,0.00,0,0.00,0,0.00,0,0,0.0
Derek Bohi,Marshmallow,6,4,0,,76,260,,,,0.00,0,0.00,0,0.00,0,0,0.0
Jerry Bohlander,,11,4,0,,71,199,,Orthodox,1974-02-12,0.00,0,0.00,0,0.00,0,0,0.0
Kotetsu Boku,,18,7,2,,69,154,,Orthodox,1977-05-27,2.47,42,2.80,53,0.00,0,0,0.0
Kyle Bolt,,8,4,0,,74,185,,,,7.27,52,7.27,45,0.00,0,0,0.0
Luc Bondole,,5,1,2,,74,205,,,,3.35,51,2.04,62,0.00,0,0,1.8
Tony Bonello,The Gun,16,2,1,1,74,185,,,,0.62,33,12.62,10,0.00,0,0,0.0
Jesse Bongfeldt,Water,15,5,1,,72,185,,Orthodox,1980-08-28,2.91,62,1.01,50,1.51,33,33,0.0
Marcos Bonilla,Murder Marx,1,2,0,,70,145,,,,0.47,12,0.47,94,0.00,0,0,0.0
Stephan Bonnar,The American Psycho,17,8,0,,76,205,78,Orthodox,1977-04-04,2.76,38,3.01,52,1.32,40,60,1.0
Ray Borg,The Tazmexican Devil,10,2,0,,64,125,63,Orthodox,1993-08-04,1.33,51,1.65,54,3.79,55,50,2.2
Igor Borisov,,1,1,0,,72,235,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0
Steve Bosse,The Boss,12,2,0,,71,205,72,Orthodox,1981-07-29,5.99,52,5.38,50,0.92,33,100,0.0
